trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
94,False,"{'a': 0.002, 'e': 0.8286147072326806}",20,4,-73.3861017791027,"{0: 11, 1: 1, 2: 2, 3: 1, 4: 1}",1
95,False,"{'a': 0.002, 'e': 0.8269591339433623}",20,0,-99.37274772081368,"{0: 13, 1: 1, 2: 3, 3: 2, 4: 1}",0
96,False,"{'a': 0.002, 'e': 0.8253068684916823}",20,0,-49.279804098924714,"{0: 12, 1: 5, 2: 2, 3: 1, 4: 0}",0
97,False,"{'a': 0.002, 'e': 0.8236579042685769}",20,0,-58.5398678004625,"{0: 16, 1: 0, 2: 2, 3: 1, 4: 1}",0
98,False,"{'a': 0.002, 'e': 0.8220122346781865}",25,0,-181.70079427034025,"{0: 15, 1: 0, 2: 6, 3: 1, 4: 3}",0
99,False,"{'a': 0.002, 'e': 0.8203698531378311}",25,0,-66.07827083762835,"{0: 16, 1: 3, 2: 5, 3: 1, 4: 0}",0
100,False,"{'a': 0.002, 'e': 0.8187307530779818}",30,0,-94.00625734484518,"{0: 21, 1: 3, 2: 4, 3: 1, 4: 1}",0
101,False,"{'a': 0.002, 'e': 0.8170949279422366}",20,0,-18.120537091585668,"{0: 15, 1: 3, 2: 2, 3: 0, 4: 0}",0
102,False,"{'a': 0.002, 'e': 0.8154623711872927}",20,5,1.0190268995462584,"{0: 13, 1: 0, 2: 2, 3: 0, 4: 0}",1
103,False,"{'a': 0.002, 'e': 0.8138330762829207}",25,0,-40.00624637427244,"{0: 17, 1: 4, 2: 4, 3: 0, 4: 0}",0
104,False,"{'a': 0.002, 'e': 0.812207036711939}",20,7,-75.47944167194933,"{0: 8, 1: 0, 2: 4, 3: 0, 4: 1}",1
105,False,"{'a': 0.002, 'e': 0.8105842459701871}",20,0,-0.7713473013147645,"{0: 17, 1: 2, 2: 1, 3: 0, 4: 0}",0
106,False,"{'a': 0.002, 'e': 0.8089646975664998}",25,0,-158.99202276189783,"{0: 18, 1: 2, 2: 1, 3: 0, 4: 4}",0
107,False,"{'a': 0.002, 'e': 0.8073483850226815}",30,0,-137.58903104579412,"{0: 16, 1: 3, 2: 10, 3: 0, 4: 1}",0
108,False,"{'a': 0.002, 'e': 0.8057353018734796}",35,3,-93.38189928311795,"{0: 24, 1: 3, 2: 3, 3: 0, 4: 2}",1
109,False,"{'a': 0.002, 'e': 0.8041254416665596}",25,0,-119.42293672194475,"{0: 15, 1: 5, 2: 3, 3: 0, 4: 2}",0
110,False,"{'a': 0.002, 'e': 0.8025187979624785}",25,0,-9.02717109892123,"{0: 21, 1: 1, 2: 3, 3: 0, 4: 0}",0
111,False,"{'a': 0.002, 'e': 0.8009153643346592}",20,9,-20.659842445063898,"{0: 8, 1: 1, 2: 1, 3: 1, 4: 0}",1
112,False,"{'a': 0.002, 'e': 0.7993151343693651}",20,0,-91.92613525604071,"{0: 13, 1: 1, 2: 4, 3: 1, 4: 1}",0
113,False,"{'a': 0.002, 'e': 0.7977181016656743}",25,5,-94.15228062177061,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 2}",1
114,False,"{'a': 0.002, 'e': 0.7961242598354538}",20,0,-82.56987726774771,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
115,False,"{'a': 0.002, 'e': 0.794533602503334}",20,0,-61.606526578138435,"{0: 12, 1: 2, 2: 5, 3: 1, 4: 0}",0
116,False,"{'a': 0.002, 'e': 0.7929461233066837}",30,4,-84.7798402960034,"{0: 20, 1: 1, 2: 3, 3: 0, 4: 2}",1
117,False,"{'a': 0.002, 'e': 0.7913618158955839}",30,0,-189.32377965583873,"{0: 22, 1: 0, 2: 2, 3: 2, 4: 4}",0
118,False,"{'a': 0.002, 'e': 0.7897806739328027}",25,14,8.339778054443977,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
119,False,"{'a': 0.002, 'e': 0.7882026910937704}",25,0,-186.72217253161023,"{0: 15, 1: 0, 2: 6, 3: 1, 4: 3}",0
120,False,"{'a': 0.002, 'e': 0.7866278610665535}",20,0,-51.374881657292256,"{0: 12, 1: 3, 2: 5, 3: 0, 4: 0}",0
121,False,"{'a': 0.002, 'e': 0.7850561775518295}",25,0,-20.02141020195055,"{0: 21, 1: 0, 2: 3, 3: 1, 4: 0}",0
122,False,"{'a': 0.002, 'e': 0.7834876342628625}",20,2,-106.66411842925235,"{0: 11, 1: 3, 2: 1, 3: 1, 4: 2}",1
123,False,"{'a': 0.002, 'e': 0.7819222249254772}",20,12,-34.97546867890065,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 1}",1
124,False,"{'a': 0.002, 'e': 0.7803599432780343}",30,8,-124.73896464124522,"{0: 14, 1: 1, 2: 4, 3: 1, 4: 2}",1
125,False,"{'a': 0.002, 'e': 0.7788007830714049}",25,0,-114.9657187317406,"{0: 15, 1: 3, 2: 4, 3: 2, 4: 1}",0
126,False,"{'a': 0.002, 'e': 0.7772447380689461}",20,0,-46.1745067817718,"{0: 12, 1: 3, 2: 5, 3: 0, 4: 0}",0
127,False,"{'a': 0.002, 'e': 0.775691802046476}",25,0,-137.07806032056325,"{0: 15, 1: 4, 2: 3, 3: 1, 4: 2}",0
128,False,"{'a': 0.002, 'e': 0.7741419687922484}",20,0,-109.3879076794491,"{0: 12, 1: 3, 2: 3, 3: 0, 4: 2}",0
129,False,"{'a': 0.002, 'e': 0.772595232106928}",20,0,-68.6419158823019,"{0: 12, 1: 5, 2: 2, 3: 0, 4: 1}",0
130,False,"{'a': 0.002, 'e': 0.7710515858035663}",30,0,-74.1729494765904,"{0: 21, 1: 4, 2: 4, 3: 0, 4: 1}",0
131,False,"{'a': 0.002, 'e': 0.7695110237075758}",20,0,-128.24631687893688,"{0: 11, 1: 2, 2: 3, 3: 3, 4: 1}",0
