trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
72,False,"{'a': 0.002, 'e': 0.9896499035251115}",25,0,-76.56735008869862,"{0: 15, 1: 4, 2: 5, 3: 1, 4: 0}",0
73,False,"{'a': 0.002, 'e': 0.9893609187138546}",25,0,-149.4781718147129,"{0: 17, 1: 3, 2: 1, 3: 1, 4: 3}",0
74,False,"{'a': 0.002, 'e': 0.989067976460242}",20,0,-143.96975562374985,"{0: 13, 1: 0, 2: 4, 3: 0, 4: 3}",0
75,False,"{'a': 0.002, 'e': 0.9887710779360422}",20,0,-68.81541232126452,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
76,False,"{'a': 0.002, 'e': 0.9884702243288492}",25,0,-132.48699858094534,"{0: 15, 1: 2, 2: 6, 3: 0, 4: 2}",0
77,False,"{'a': 0.002, 'e': 0.9881654168420767}",25,0,-198.07977945963995,"{0: 14, 1: 2, 2: 3, 3: 3, 4: 3}",0
78,False,"{'a': 0.002, 'e': 0.9878566566949545}",30,0,-243.97327504884615,"{0: 16, 1: 1, 2: 7, 3: 3, 4: 3}",0
79,False,"{'a': 0.002, 'e': 0.9875439451225226}",20,0,-94.40242005315119,"{0: 12, 1: 3, 2: 3, 3: 1, 4: 1}",0
80,False,"{'a': 0.002, 'e': 0.9872272833756269}",20,0,-86.00750553535856,"{0: 11, 1: 2, 2: 5, 3: 2, 4: 0}",0
81,False,"{'a': 0.002, 'e': 0.986906672720914}",20,0,-161.06248836376534,"{0: 11, 1: 2, 2: 4, 3: 0, 4: 3}",0
82,False,"{'a': 0.002, 'e': 0.9865821144408262}",25,0,-158.91980567159717,"{0: 14, 1: 1, 2: 7, 3: 1, 4: 2}",0
83,False,"{'a': 0.002, 'e': 0.986253609833596}",20,0,-179.4227086551055,"{0: 10, 1: 1, 2: 5, 3: 1, 4: 3}",0
84,False,"{'a': 0.002, 'e': 0.9859211602132415}",25,0,-133.65283169106806,"{0: 15, 1: 3, 2: 5, 3: 0, 4: 2}",0
85,False,"{'a': 0.002, 'e': 0.9855847669095608}",30,0,-224.95487291749444,"{0: 18, 1: 1, 2: 6, 3: 1, 4: 4}",0
86,False,"{'a': 0.002, 'e': 0.9852444312681263}",30,0,-249.2484657584704,"{0: 14, 1: 2, 2: 9, 3: 2, 4: 3}",0
87,False,"{'a': 0.002, 'e': 0.9849001546502806}",25,0,-161.51785799838152,"{0: 14, 1: 5, 2: 3, 3: 0, 4: 3}",0
88,False,"{'a': 0.002, 'e': 0.9845519384331295}",20,0,-61.31785868040603,"{0: 12, 1: 2, 2: 6, 3: 0, 4: 0}",0
89,False,"{'a': 0.002, 'e': 0.9841997840095373}",25,0,-115.81761751258153,"{0: 13, 1: 3, 2: 7, 3: 2, 4: 0}",0
90,False,"{'a': 0.002, 'e': 0.9838436927881214}",25,0,-128.41801695353504,"{0: 16, 1: 3, 2: 3, 3: 1, 4: 2}",0
91,False,"{'a': 0.002, 'e': 0.9834836661932461}",20,0,-81.79738243166122,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",0
92,False,"{'a': 0.002, 'e': 0.9831197056650174}",25,0,-226.05303223909632,"{0: 13, 1: 0, 2: 8, 3: 0, 4: 4}",0
93,False,"{'a': 0.002, 'e': 0.9827518126592768}",30,8,-121.43847073193338,"{0: 14, 1: 1, 2: 5, 3: 0, 4: 2}",1
94,False,"{'a': 0.002, 'e': 0.9823799886475959}",35,9,-101.12169112646141,"{0: 18, 1: 1, 2: 4, 3: 2, 4: 1}",1
95,False,"{'a': 0.002, 'e': 0.9820042351172703}",30,0,-185.1079595004528,"{0: 14, 1: 5, 2: 7, 3: 3, 4: 1}",0
96,False,"{'a': 0.002, 'e': 0.9816245535713135}",20,0,-82.41922870288114,"{0: 15, 1: 0, 2: 2, 3: 2, 4: 1}",0
97,False,"{'a': 0.002, 'e': 0.9812409455284513}",20,0,-170.94013591289735,"{0: 10, 1: 4, 2: 2, 3: 1, 4: 3}",0
98,False,"{'a': 0.002, 'e': 0.9808534125231153}",20,0,-168.24899943755244,"{0: 11, 1: 0, 2: 6, 3: 0, 4: 3}",0
99,False,"{'a': 0.002, 'e': 0.9804619561054371}",20,0,-66.21253874908884,"{0: 12, 1: 3, 2: 4, 3: 1, 4: 0}",0
100,False,"{'a': 0.002, 'e': 0.9800665778412416}",30,0,-55.015182525941924,"{0: 20, 1: 5, 2: 5, 3: 0, 4: 0}",0
101,False,"{'a': 0.002, 'e': 0.9796672793120416}",25,0,-207.62820665728228,"{0: 9, 1: 2, 2: 11, 3: 1, 4: 2}",0
102,False,"{'a': 0.002, 'e': 0.9792640621150305}",30,0,-210.63479347070853,"{0: 17, 1: 2, 2: 6, 3: 2, 4: 3}",0
103,False,"{'a': 0.002, 'e': 0.9788569278630767}",20,0,-63.536629468939886,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
104,False,"{'a': 0.002, 'e': 0.9784458781847165}",20,0,-244.79813234134062,"{0: 9, 1: 3, 2: 2, 3: 1, 4: 5}",0
105,False,"{'a': 0.002, 'e': 0.9780309147241483}",25,0,-102.50159263997577,"{0: 17, 1: 3, 2: 3, 3: 0, 4: 2}",0
106,False,"{'a': 0.002, 'e': 0.9776120391412251}",20,10,-11.548364673470209,"{0: 6, 1: 4, 2: 0, 3: 0, 4: 0}",1
107,False,"{'a': 0.002, 'e': 0.9771892531114489}",25,0,-88.09211017998683,"{0: 18, 1: 4, 2: 1, 3: 0, 4: 2}",0
108,False,"{'a': 0.002, 'e': 0.9767625583259631}",25,5,-89.92878547806987,"{0: 14, 1: 1, 2: 2, 3: 2, 4: 1}",1
109,False,"{'a': 0.002, 'e': 0.9763319564915464}",30,0,-85.11105421612847,"{0: 22, 1: 2, 2: 4, 3: 1, 4: 1}",0
110,False,"{'a': 0.002, 'e': 0.9758974493306055}",25,0,-144.3864693337698,"{0: 14, 1: 3, 2: 5, 3: 1, 4: 2}",0
111,False,"{'a': 0.002, 'e': 0.9754590385811684}",30,0,-188.91720754102616,"{0: 14, 1: 3, 2: 11, 3: 0, 4: 2}",0
