trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
2988,False,"{'a': 0.002, 'e': 0.002544044860030359}",30,18,24.62002804723318,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
2989,False,"{'a': 0.002, 'e': 0.0025389618550096544}",20,15,9.016970486886873,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
2990,False,"{'a': 0.002, 'e': 0.002533889005839755}",30,14,27.653506139808265,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
2991,False,"{'a': 0.002, 'e': 0.0025288262922292556}",25,0,40.81295098265939,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
2992,False,"{'a': 0.002, 'e': 0.002523773693927299}",25,12,17.92518440472826,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
2993,False,"{'a': 0.002, 'e': 0.0025187311907234828}",25,17,13.888700776689227,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
2994,False,"{'a': 0.002, 'e': 0.002513698762447788}",25,9,29.01484258611279,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
2995,False,"{'a': 0.002, 'e': 0.0025086763889704926}",20,12,13.909902975403327,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
2996,False,"{'a': 0.002, 'e': 0.0025036640502021}",20,12,13.960994440056185,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
2997,False,"{'a': 0.002, 'e': 0.0024986617260932464}",20,9,17.854289997284116,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
2998,False,"{'a': 0.002, 'e': 0.002493669396634629}",25,9,28.047677632876546,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
2999,False,"{'a': 0.002, 'e': 0.0024886870418569206}",25,3,33.19052978393959,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
3000,False,"{'a': 0.002, 'e': 0.0024837146418307}",25,14,16.229820381455305,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
3001,False,"{'a': 0.002, 'e': 0.0024787521766663585}",20,16,6.69264370784453,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
3002,False,"{'a': 0.002, 'e': 0.0024737996265140286}",35,21,25.042203589226236,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
3003,False,"{'a': 0.002, 'e': 0.002468856971563501}",25,6,31.23501226312999,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
3004,False,"{'a': 0.002, 'e': 0.0024639241920441533}",30,13,27.011626944614722,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
3005,False,"{'a': 0.002, 'e': 0.0024590012682248596}",20,8,20.66481899061594,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
3006,False,"{'a': 0.002, 'e': 0.002454088180413917}",20,12,15.427820870145247,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
3007,False,"{'a': 0.002, 'e': 0.0024491849089589663}",25,8,24.72131429547337,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
3008,False,"{'a': 0.002, 'e': 0.002444291434246919}",25,17,12.35215698730315,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
3009,False,"{'a': 0.002, 'e': 0.002439407736703868}",30,16,25.984205181306578,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
3010,False,"{'a': 0.002, 'e': 0.0024345337967950163}",25,2,35.23595386141043,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
3011,False,"{'a': 0.002, 'e': 0.0024296695950245953}",20,0,27.029217275546138,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
3012,False,"{'a': 0.002, 'e': 0.0024248151119357964}",30,22,11.084035352594354,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
3013,False,"{'a': 0.002, 'e': 0.0024199703281106784}",20,10,16.546405114815485,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
3014,False,"{'a': 0.002, 'e': 0.0024151352241700993}",20,16,9.714861649929041,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
